state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n
OH,1,3,1,1,0,0,0,13719
OH,1,3,1,1,0,0,1,212301
OH,1,3,2,1,0,0,0,18471
OH,1,3,2,1,0,0,1,197056
OH,1,4,1,1,0,0,0,7010
OH,1,4,1,1,0,0,1,66468
OH,1,4,2,1,0,0,0,13818
OH,1,4,2,1,0,0,1,56253
OH,1,2,1,1,0,0,0,2460
OH,1,2,1,1,0,0,1,33764
OH,1,2,2,1,0,0,0,13315
OH,1,2,2,1,0,0,1,21216
OH,1,5,1,1,0,0,0,2008
OH,1,5,1,1,0,0,1,14808
OH,1,5,2,1,0,0,0,1073
OH,1,5,2,1,0,0,1,14962
OH,2,3,1,1,0,0,0,7664
OH,2,3,1,1,0,0,1,229602
OH,2,3,2,1,0,0,0,10792
OH,2,3,2,1,0,0,1,215465
OH,2,4,1,1,0,0,0,14713
OH,2,4,1,1,0,0,1,57164
OH,2,4,2,1,0,0,1,68898
OH,2,2,1,1,0,0,1,34126
OH,2,2,2,1,0,0,0,20339
OH,2,2,2,1,0,0,1,12012
OH,2,5,1,1,0,0,0,1320
OH,2,5,1,1,0,0,1,15135
OH,2,5,2,1,0,0,1,16053
OH,3,3,1,1,0,0,0,20406
OH,3,3,1,1,0,0,1,227237
OH,3,3,2,1,0,0,0,12401
OH,3,3,2,1,0,0,1,223808
OH,3,4,1,1,0,0,0,3950
OH,3,4,1,1,0,0,1,65959
OH,3,4,2,1,0,0,0,21383
OH,3,4,2,1,0,0,1,46114
OH,3,2,1,1,0,0,1,32187
OH,3,2,2,1,0,0,0,4371
OH,3,2,2,1,0,0,1,25981
OH,3,5,1,1,0,0,1,15868
OH,3,5,2,1,0,0,0,473
OH,3,5,2,1,0,0,1,15257
OH,4,3,1,1,0,0,0,17637
OH,4,3,1,1,0,0,1,236495
OH,4,3,2,1,0,0,0,49588
OH,4,3,2,1,0,0,1,196504
OH,4,4,1,1,0,0,0,3184
OH,4,4,1,1,0,0,1,63994
OH,4,4,2,1,0,0,0,4561
OH,4,4,2,1,0,0,1,58268
OH,4,2,1,1,0,0,0,6058
OH,4,2,1,1,0,0,1,24124
OH,4,2,2,1,0,0,0,5666
OH,4,2,2,1,0,0,1,22763
OH,4,5,1,1,0,0,0,4525
OH,4,5,1,1,0,0,1,10949
OH,4,5,2,1,0,0,0,3179
OH,4,5,2,1,0,0,1,12016
OH,5,3,1,1,0,0,1,1035
OH,5,3,1,2,0,0,0,1035
OH,5,3,1,2,0,0,1,4463
OH,5,3,1,2,0,1,1,5314
OH,5,3,1,3,0,0,0,4095
OH,5,3,1,3,0,0,1,30020
OH,5,3,1,3,0,1,0,989
OH,5,3,1,3,0,1,1,41567
OH,5,3,1,3,0,2,0,1288
OH,5,3,1,3,0,2,1,5981
OH,5,3,1,3,0,3,1,621
OH,5,3,1,3,1,0,1,1817
OH,5,3,1,3,1,1,0,621
OH,5,3,1,3,1,1,1,2185
OH,5,3,1,3,1,3,0,1472
OH,5,3,1,3,1,3,1,2070
OH,5,3,1,3,2,1,0,4164
OH,5,3,1,3,2,1,1,4900
OH,5,3,1,3,2,3,0,2116
OH,5,3,1,4,0,0,0,5567
OH,5,3,1,4,0,0,1,22843
OH,5,3,1,4,0,1,0,4532
OH,5,3,1,4,0,1,1,28524
OH,5,3,1,4,0,2,1,10490
OH,5,3,1,4,0,3,1,1196
OH,5,3,1,4,1,3,1,1357
OH,5,3,1,4,2,0,1,1978
OH,5,3,1,4,2,1,1,1978
OH,5,3,1,4,2,3,1,437
OH,5,3,1,5,0,0,0,1058
OH,5,3,1,5,0,0,1,6096
OH,5,3,1,5,0,1,0,1035
OH,5,3,1,5,0,1,1,17667
OH,5,3,1,5,0,2,1,5981
OH,5,3,1,5,0,3,1,713
OH,5,3,1,5,1,0,0,690
OH,5,3,1,5,1,1,1,1886
OH,5,3,1,5,1,3,1,230
OH,5,3,2,2,0,0,1,6674
OH,5,3,2,2,1,0,1,1407
OH,5,3,2,2,2,0,1,1407
OH,5,3,2,3,0,0,0,2996
OH,5,3,2,3,0,0,1,37863
OH,5,3,2,3,0,1,0,6696
OH,5,3,2,3,0,1,1,12871
OH,5,3,2,3,0,2,1,1861
OH,5,3,2,3,0,3,1,885
OH,5,3,2,3,1,0,0,3087
OH,5,3,2,3,1,0,1,4290
OH,5,3,2,3,2,0,0,2066
OH,5,3,2,3,2,0,1,1044
OH,5,3,2,3,2,1,1,3677
OH,5,3,2,3,2,2,1,1294
OH,5,3,2,4,0,0,0,840
OH,5,3,2,4,0,0,1,32665
OH,5,3,2,4,0,1,0,3155
OH,5,3,2,4,0,1,1,32006
OH,5,3,2,4,0,2,1,6901
OH,5,3,2,4,0,3,1,3382
OH,5,3,2,4,1,1,1,3927
OH,5,3,2,4,2,0,1,2792
OH,5,3,2,4,2,1,1,931
OH,5,3,2,5,0,0,0,1975
OH,5,3,2,5,0,0,1,4812
OH,5,3,2,5,0,1,0,2202
OH,5,3,2,5,0,1,1,41063
OH,5,3,2,5,0,2,1,1929
OH,5,3,2,5,1,1,1,318
OH,5,4,1,3,0,0,1,16248
OH,5,4,1,3,0,1,0,11805
OH,5,4,1,3,0,1,1,7154
OH,5,4,1,4,0,0,1,11347
OH,5,4,1,4,0,1,1,4798
OH,5,4,1,5,0,0,1,6226
OH,5,4,1,5,0,1,1,3461
OH,5,4,2,3,0,0,0,1688
OH,5,4,2,3,0,0,1,9027
OH,5,4,2,3,0,1,0,3072
OH,5,4,2,4,0,0,1,14591
OH,5,4,2,4,0,1,1,14356
OH,5,4,2,4,0,3,1,5995
OH,5,4,2,5,0,0,0,3767
OH,5,4,2,5,0,0,1,2452
OH,5,4,2,5,0,1,1,2475
OH,5,2,1,1,0,0,1,3556
OH,5,2,1,1,2,0,1,4090
OH,5,2,1,3,0,0,0,3169
OH,5,2,1,3,0,0,1,4770
OH,5,2,1,3,0,1,0,2145
OH,5,2,1,3,0,1,1,3261
OH,5,2,1,4,0,0,1,669
OH,5,2,1,4,0,1,1,5428
OH,5,2,2,2,0,0,1,4500
OH,5,2,2,3,0,0,0,2675
OH,5,2,2,3,0,0,1,2950
OH,5,2,2,3,0,1,1,8967
OH,5,2,2,4,0,1,0,766
OH,5,2,2,4,0,3,1,2770
OH,5,2,2,5,0,0,1,2094
OH,5,2,2,5,0,2,1,907
OH,5,5,1,3,0,0,1,3821
OH,5,5,1,3,0,1,0,1274
OH,5,5,1,3,0,1,1,3557
OH,5,5,1,3,2,0,1,748
OH,5,5,1,4,0,0,0,202
OH,5,5,1,4,0,1,1,1633
OH,5,5,1,5,0,0,0,1150
OH,5,5,1,5,0,0,1,526
OH,5,5,1,5,0,1,0,503
OH,5,5,1,5,0,1,1,1836
OH,5,5,1,5,0,2,1,269
OH,5,5,1,5,2,1,1,503
OH,5,5,2,3,0,0,1,4971
OH,5,5,2,3,0,1,1,1264
OH,5,5,2,3,0,2,0,2094
OH,5,5,2,3,2,1,1,1249
OH,5,5,2,4,0,0,1,1704
OH,5,5,2,4,0,1,1,2187
OH,5,5,2,5,0,1,1,2965
OH,6,3,1,2,0,0,1,5707
OH,6,3,1,2,0,1,1,744
OH,6,3,1,2,0,3,1,1092
OH,6,3,1,3,0,0,1,17294
OH,6,3,1,3,0,1,0,3151
OH,6,3,1,3,0,1,1,22951
OH,6,3,1,3,0,2,0,1117
OH,6,3,1,3,0,2,1,4044
OH,6,3,1,3,0,3,1,5210
OH,6,3,1,3,1,0,1,4392
OH,6,3,1,3,1,1,1,4317
OH,6,3,1,3,1,2,1,1662
OH,6,3,1,3,2,0,1,4764
OH,6,3,1,3,2,1,1,2357
OH,6,3,1,3,2,3,0,422
OH,6,3,1,3,2,3,1,5434
OH,6,3,1,4,0,0,0,1141
OH,6,3,1,4,0,0,1,7220
OH,6,3,1,4,0,1,0,2084
OH,6,3,1,4,0,1,1,32801
OH,6,3,1,4,0,2,1,7220
OH,6,3,1,4,0,3,0,3945
OH,6,3,1,4,0,3,1,4714
OH,6,3,1,4,1,0,0,1191
OH,6,3,1,4,1,0,1,3771
OH,6,3,1,4,1,1,1,10595
OH,6,3,1,4,1,2,1,2605
OH,6,3,1,4,2,0,1,3623
OH,6,3,1,4,2,2,1,447
OH,6,3,1,5,0,0,0,1514
OH,6,3,1,5,0,0,1,9032
OH,6,3,1,5,0,1,0,4789
OH,6,3,1,5,0,1,1,37764
OH,6,3,1,5,0,2,1,11339
OH,6,3,1,5,0,3,0,447
OH,6,3,1,5,0,3,1,4987
OH,6,3,1,5,1,0,1,3970
OH,6,3,1,5,1,1,0,2010
OH,6,3,1,5,1,1,1,2233
OH,6,3,1,5,1,2,1,918
OH,6,3,1,5,1,3,1,3052
OH,6,3,2,1,0,0,1,7528
OH,6,3,2,2,0,0,0,9627
OH,6,3,2,2,0,1,1,2630
OH,6,3,2,2,2,0,0,10713
OH,6,3,2,2,2,3,0,1086
OH,6,3,2,3,0,0,0,7986
OH,6,3,2,3,0,0,1,21546
OH,6,3,2,3,0,1,0,2630
OH,6,3,2,3,0,1,1,9144
OH,6,3,2,3,0,3,0,555
OH,6,3,2,3,0,3,1,700
OH,6,3,2,3,1,0,0,3788
OH,6,3,2,3,1,0,1,8517
OH,6,3,2,3,1,1,1,10375
OH,6,3,2,3,2,0,1,2003
OH,6,3,2,3,2,1,0,700
OH,6,3,2,3,2,2,1,1568
OH,6,3,2,4,0,0,1,11895
OH,6,3,2,4,0,1,0,531
OH,6,3,2,4,0,1,1,16383
OH,6,3,2,4,1,0,0,5163
OH,6,3,2,4,1,0,1,10496
OH,6,3,2,4,1,1,1,5791
OH,6,3,2,4,2,1,1,1930
OH,6,3,2,5,0,0,0,5960
OH,6,3,2,5,0,0,1,17951
OH,6,3,2,5,0,1,1,49993
OH,6,3,2,5,0,2,1,4246
OH,6,3,2,5,0,3,1,3281
OH,6,3,2,5,1,1,1,6201
OH,6,3,2,5,2,1,1,338
OH,6,4,1,2,0,1,1,13358
OH,6,4,1,3,2,3,1,6703
OH,6,4,1,4,0,0,1,20360
OH,6,4,1,4,0,1,1,6486
OH,6,4,1,4,2,2,1,10363
OH,6,4,1,5,0,0,1,713
OH,6,4,1,5,0,1,0,2160
OH,6,4,1,5,0,1,1,1216
OH,6,4,1,5,0,2,1,1779
OH,6,4,1,5,0,3,1,4774
OH,6,4,2,3,0,0,0,6352
OH,6,4,2,3,0,0,1,7298
OH,6,4,2,4,0,0,1,12569
OH,6,4,2,4,2,1,0,6140
OH,6,4,2,5,0,0,1,13921
OH,6,4,2,5,0,1,1,14963
OH,6,4,2,5,0,2,0,3121
OH,6,2,1,2,0,0,1,5145
OH,6,2,1,3,0,0,1,3308
OH,6,2,1,3,0,1,0,1805
OH,6,2,1,3,0,1,1,2667
OH,6,2,1,3,1,0,0,3122
OH,6,2,1,3,1,1,1,329
OH,6,2,1,3,2,0,1,1717
OH,6,2,1,3,2,1,1,996
OH,6,2,1,4,0,1,1,4192
